country,immigrants,percPop,emigrants
Eswatini,32858,2.83,50039
Guyana,31169,3.96,438413
Papua New Guinea,31068,0.35,4810
French Polynesia,30081,10.71,2157
Antigua And Barbuda,29386,30.01,66561
Cayman Islands,29242,44.49,1908
Mauritius,28893,2.27,182973
Sint Maarten,28845,70.68,2191
Monaco,26601,67.79,32552
Liechtenstein,25877,67.87,3706
Turks and Caicos Islands,25748,66.5,2689
Jamaica,23629,0.8,1118931
American Samoa,23608,42.77,1832
British Virgin Islands,22164,73.29,5355
Northern Mariana Islands,21843,37.95,2741
Mongolia,21345,0.65,82098
Bermuda,19739,30.89,21107
Haiti,18884,0.17,1769671
Guinea-Bissau,17945,0.91,111790
Cape Verde,15788,2.84,187558
Fiji,14087,1.57,233856
Eritrea,13934,0.39,802822
Seychelles,13050,13.27,29258
Comoros,12496,1.44,150823
Lesotho,12060,0.56,202164
Gibraltar,11190,33.21,13389
Timor-Leste,8399,0.64,39588
Saint Lucia,8338,4.54,71227
Dominica,8284,11.51,78191
Saint Kitts and Nevis,7725,14.52,50285
Grenada,7213,6.41,62204
Faroe Islands,6812,13.94,12927
Greenland,5899,10.39,17866
Anguilla,5715,38.09,2505
San Marino,5543,16.34,2407
Western Sahara,5424,0.91,194932
Palau,5088,28.12,2656
Saint Vincent And The Grenadines,4738,4.27,55525
Cook Islands,4579,26.07,21106
Samoa,4021,2.03,135732
Tonga,3742,3.54,74550
Marshall Islands,3298,5.57,10886
Vanuatu,3257,1.06,7246
Kiribati,3126,2.62,5103
Cuba,3024,0.03,1757300
Micronesia,2832,2.46,24945
Solomon Islands,2520,0.37,4270
Nauru,2201,20.33,2454
Sao Tome and Principe,2139,0.98,39608
Wallis and Futuna,2040,18.15,11917
Falkland Islands,1957,56.24,1518
Montserrat,1379,27.62,24582
Tokelau,1238,91.23,2112
Saint Pierre and Miquelon,998,17.22,433
Vatican City,809,100,174
Niue,588,35.79,5186
Tuvalu,239,2.03,3670
